,Store#,County,City,County#,Total_Sales_2016_Q1,Sales_Mean_2016_Q1,Total_Liters_2016_Q1,Avg_PPL_2016_Q1,Zip_Code,Avg_Liters_2016_Q1,Avg_Margin_2016_Q1,Predicted 2016 TotalSales
666,4463,Hancock,GARNER,41.0,35422.49,97.8521823204,3181.36,8.78828729282,50438,13.9448566167,4.60461325967,156125.538921
667,4464,Scott,ELDRIDGE,82.0,23922.88,87.3097810219,1606.18,5.86197080292,52748,19.3058124783,4.98908759124,110290.763962
668,4466,Fayette,FAYETTE,33.0,24016.38,186.173488372,1888.5,14.6395348837,52142,15.1940568475,4.84565891473,113361.328468
669,4467,Muscatine,MUSCATINE,70.0,9046.54,43.4929807692,642.32,3.08807692308,52761,17.6897000916,3.57177884615,31021.2231275
670,4468,Muscatine,MUSCATINE,70.0,6280.88,53.6827350427,392.85,3.35769230769,52761,18.849019129,3.83700854701,22310.8804236
671,4470,Black Hawk,WATERLOO,7.0,7075.0,74.4736842105,532.88,5.60926315789,50703,17.1646015038,3.54568421053,23629.2645891
672,4471,Black Hawk,WATERLOO,7.0,11969.45,83.7024475524,877.6,6.13706293706,50702,16.826973027,3.71811188811,46384.6290455
673,4472,Appanoose,CENTERVILLE,4.0,9686.6,104.156989247,880.06,9.46301075269,52544,16.5468356375,3.9811827957,41154.6147602
674,4473,Guthrie,PANORA,39.0,15116.24,134.966428571,1086.0,9.69642857143,50216,15.5793962585,5.23348214286,77567.8061029
675,4474,Pottawattamie,COUNCIL BLUFFS,78.0,18105.95,143.698015873,1025.9,8.14206349206,51501,20.1323053666,3.55095238095,71462.0613091
676,4475,Pottawattamie,COUNCIL BLUFFS,78.0,11518.72,103.772252252,688.85,6.20585585586,51501,20.5550579151,3.44144144144,41558.4590481
677,4476,Pottawattamie,COUNCIL BLUFFS,78.0,13638.5,131.139423077,902.4,8.67692307692,51501,19.0534386447,3.39865384615,51233.7081677
678,4477,Pottawattamie,COUNCIL BLUFFS,78.0,10912.03,83.9386923077,672.25,5.17115384615,51503,19.3095018315,3.34223076923,37441.2787515
679,4478,Polk,DES MOINES,77.0,50670.3,79.6702830189,3659.89,5.75454402516,50315,17.836320006,3.98308176101,212390.628782
680,4480,Clinton,CLINTON,23.0,6699.96,108.063870968,310.53,5.0085483871,52732,20.2234946237,4.58967741935,32914.6841275
681,4481,Johnson,IOWA CITY,52.0,28688.48,92.2459163987,2083.11,6.69810289389,52240,19.2146520441,5.02115755627,131150.169658
682,4482,Warren,INDIANOLA,91.0,16889.62,55.5579605263,1330.02,4.37506578947,50125,15.4493327068,3.46789473684,63634.1135736
683,4485,O'Brien,SANBORN,71.0,12583.43,45.4275451264,1084.23,3.91418772563,51248,15.4099209214,4.27971119134,53911.9109364
684,4487,Linn,CEDAR RAPIDS,57.0,8787.74,92.5025263158,615.66,6.48063157895,52402,18.1652531328,3.58473684211,31693.9401784
